fiber,xc,yc,wavelength,close,lamp,xc_effective,old_index_approx,superold_index_approx
2,69,808,690.9346,0,HgAr,69,0,nan
2,69,875,696.7261,1,HgAr,69,1,90.0
2,70,992,706.8989,0,HgAr,70,2,nan
2,71,1229,727.47876,1,HgAr,71,3,nan
2,72,1358,738.6248,0,HgAr,72,4,80.0
2,73,1647,763.74286,0.5,HgAr,73,5,70.0
2,73,2009,795.0522,1,HgAr,73,6,50.0
2,72,2377,826.6699,0.5,HgAr,72,7,40.0
2,72,2679,852.4029,0.5,HgAr,72,8,30.0
2,66,3395,912.5693,1,HgAr,66,9,20.0
2,65,3517,922.7301,0,HgAr,65,10,10.0
2,59,4044,966.0642,1,HgAr,59,11,0.0
63,461,794,690.9346,0,HgAr,461,12,nan
63,461,860,696.7261,1,HgAr,461,13,91.0
63,461,977,706.8989,0,HgAr,461,14,nan
63,462,1214,727.47876,1,HgAr,462,15,nan
63,463,1342,738.6248,0,HgAr,463,16,81.0
63,463,1631,763.74286,0.5,HgAr,463,17,71.0
63,463,1993,795.0522,1,HgAr,463,18,51.0
63,463,2361,826.6699,0.5,HgAr,463,19,41.0
63,462,2662,852.4029,0.5,HgAr,462,20,31.0
63,459,3374,912.5693,1,HgAr,459,21,21.0
63,458,3495,922.7301,0,HgAr,458,22,11.0
63,453,4020,966.0642,1,HgAr,453,23,1.0
192,845,785,690.9346,0,HgAr,845,24,nan
192,845,851,696.7261,1,HgAr,845,25,92.0
192,845,968,706.8989,0,HgAr,845,26,nan
192,846,1203,727.47876,1,HgAr,846,27,nan
192,846,1331,738.6248,0,HgAr,846,28,82.0
192,846,1620,763.74286,0.5,HgAr,846,29,72.0
192,847,1982,795.0522,1,HgAr,847,30,52.0
192,846,2350,826.6699,0.5,HgAr,846,31,42.0
192,846,2651,852.4029,0.5,HgAr,846,32,32.0
192,844,3360,912.5693,1,HgAr,844,33,22.0
192,843,3481,922.7301,0,HgAr,843,34,12.0
192,840,4009,966.0642,1,HgAr,840,35,2.0
255,1222,777,690.9346,0,HgAr,1222,24,nan
255,1223,843,696.7261,1,HgAr,1223,25,92.0
255,1223,960,706.8989,0,HgAr,1223,26,nan
255,1223,1195,727.47876,1,HgAr,1223,27,nan
255,1223,1323,738.6248,0,HgAr,1223,28,82.0
255,1224,1612,763.74286,0.5,HgAr,1224,29,72.0
255,1224,1974,795.0522,1,HgAr,1224,30,52.0
255,1223,2340,826.6699,0.5,HgAr,1223,31,42.0
255,1223,2641,852.4029,0.5,HgAr,1223,32,32.0
255,1222,3350,912.5693,1,HgAr,1222,33,22.0
255,1221,3471,922.7301,0,HgAr,1221,34,12.0
255,1219,3993,966.0642,1,HgAr,1219,35,2.0
339,1610,772,690.9346,0,HgAr,1610,24,nan
339,1610,838,696.7261,1,HgAr,1610,25,92.0
339,1610,955,706.8989,0,HgAr,1610,26,nan
339,1610,1190,727.47876,1,HgAr,1610,27,nan
339,1610,1318,738.6248,0,HgAr,1610,28,82.0
339,1610,1606,763.74286,0.5,HgAr,1610,29,72.0
339,1610,1968,795.0522,1,HgAr,1610,30,52.0
339,1610,2334,826.6699,0.5,HgAr,1610,31,42.0
339,1610,2635,852.4029,0.5,HgAr,1610,32,32.0
339,1609,3343,912.5693,1,HgAr,1609,33,22.0
339,1609,3464,922.7301,0,HgAr,1609,34,12.0
339,1608,3987,966.0642,1,HgAr,1608,35,2.0
401,1992,771,690.9346,0,HgAr,1992,36,nan
401,1992,836,696.7261,1,HgAr,1992,37,93.0
401,1992,952,706.8989,0,HgAr,1992,38,nan
401,1992,1187,727.47876,1,HgAr,1992,39,nan
401,1992,1314,738.6248,0,HgAr,1992,40,83.0
401,1992,1603,763.74286,0.5,HgAr,1992,41,73.0
401,1992,1965,795.0522,1,HgAr,1992,42,53.0
401,1992,2332,826.6699,0.5,HgAr,1992,43,43.0
401,1992,2631,852.4029,0.5,HgAr,1992,44,33.0
401,1992,3340,912.5693,1,HgAr,1992,45,23.0
401,1992,3460,922.7301,0,HgAr,1992,46,13.0
401,1991,3977,966.0642,1,HgAr,1991,47,3.0
464,2440,772,690.9346,0,HgAr,2509,36,nan
464,2440,839,696.7261,1,HgAr,2509,37,93.0
464,2440,955,706.8989,0,HgAr,2509,38,nan
464,2440,1190,727.47876,1,HgAr,2509,39,nan
464,2439,1318,738.6248,0,HgAr,2508,40,83.0
464,2439,1606,763.74286,0.5,HgAr,2508,41,73.0
464,2439,1967,795.0522,1,HgAr,2508,42,53.0
464,2439,2334,826.6699,0.5,HgAr,2508,43,43.0
464,2440,2634,852.4029,0.5,HgAr,2509,44,33.0
464,2440,3342,912.5693,1,HgAr,2509,45,23.0
464,2440,3463,922.7301,0,HgAr,2509,46,13.0
464,2441,3983,966.0642,1,HgAr,2510,47,3.0
525,2828,776,690.9346,0,HgAr,2897,48,nan
525,2828,843,696.7261,1,HgAr,2897,49,94.0
525,2828,959,706.8989,0,HgAr,2897,50,nan
525,2828,1195,727.47876,1,HgAr,2897,51,nan
525,2827,1323,738.6248,0,HgAr,2896,52,84.0
525,2827,1611,763.74286,0.5,HgAr,2896,53,74.0
525,2827,1972,795.0522,1,HgAr,2896,54,54.0
525,2827,2339,826.6699,0.5,HgAr,2896,55,44.0
525,2828,2639,852.4029,0.5,HgAr,2897,56,34.0
525,2829,3348,912.5693,1,HgAr,2898,57,24.0
525,2829,3469,922.7301,0,HgAr,2898,58,14.0
525,2831,3993,966.0642,1,HgAr,2900,59,4.0
587,3626,796,690.9346,0,HgAr,3695,60,nan
587,3626,862,696.7261,1,HgAr,3695,61,95.0
587,3625,978,706.8989,0,HgAr,3694,62,nan
587,3624,1214,727.47876,1,HgAr,3693,63,nan
587,3624,1342,738.6248,0,HgAr,3693,64,85.0
587,3623,1632,763.74286,0.5,HgAr,3692,65,75.0
587,3623,1994,795.0522,1,HgAr,3692,66,55.0
587,3623,2361,826.6699,0.5,HgAr,3692,67,45.0
587,3624,2662,852.4029,0.5,HgAr,3693,68,35.0
587,3628,3374,912.5693,1,HgAr,3697,69,25.0
587,3629,3495,922.7301,0,HgAr,3698,70,15.0
587,3633,4022,966.0642,1,HgAr,3702,71,5.0
650,4006,809,690.9346,0,HgAr,4075,60,nan
650,4005,875,696.7261,1,HgAr,4074,61,95.0
650,4005,992,706.8989,0,HgAr,4074,62,nan
650,4003,1229,727.47876,1,HgAr,4072,63,nan
650,4003,1357,738.6248,0,HgAr,4072,64,85.0
650,4002,1647,763.74286,0.5,HgAr,4071,65,75.0
650,4002,2011,795.0522,1,HgAr,4071,66,55.0
650,4002,2379,826.6699,0.5,HgAr,4071,67,45.0
650,4003,2681,852.4029,0.5,HgAr,4072,68,35.0
650,4008,3393,912.5693,1,HgAr,4077,69,25.0
650,4009,3515,922.7301,0,HgAr,4078,70,15.0
650,4016,4044,966.0642,1,HgAr,4085,71,5.0
